,Compensation of employees - Wages and salaries ;,Compensation of employees - Employers' social contributions ;,Total compensation of employees ;,Private non-financial corporations ;  Gross operating surplus ;,Public non-financial corporations ;  Gross operating surplus ;,Non-financial corporations ;  Gross operating surplus ;,Financial corporations ;  Gross operating surplus ;,Total corporations ;  Gross operating surplus ;,General government ;  Gross operating surplus ;,Dwellings owned by persons ;  Gross operating surplus ;,All sectors ;  Gross operating surplus ;,Gross mixed income ;,Total factor income ;,Taxes less subsidies on production and imports ;,Statistical discrepancy (I) ;,GROSS DOMESTIC PRODUCT ;,Private ;  Non-farm ;  Chain volume measures ;,Farm ;  Chain volume measures ;,Public authorities ;  Chain volume measures ;,CHANGES IN INVENTORIES: Chain volume measures ;,Private ;  Non-farm ;  Current prices ;,Farm ;  Current prices ;,Public authorities ;  Current prices ;,CHANGES IN INVENTORIES: Current prices ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-1984,Jun-1984,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1975,Jun-1975,Jun-1975,Jun-1975,Jun-1960,Jun-1960,Jun-1960,Jun-1960
Series End,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016
No. Obs,33,33,57,57,57,57,57,57,57,57,57,57,57,57,57,57,42,42,42,42,57,57,57,57
Series ID,A2304858W,A2304856T,A2304584X,A2323367J,A2304609J,A2304610T,A2304606A,A2304613X,A2304608F,A2304612W,A2304607C,A2304603V,A2304614A,A2304630A,A2304639W,A2304617J,A2304769V,A2304767R,A2304771F,A2304770C,A2304623C,A2304621X,A2304625J,A2304624F
Jun-1960,,,7793.0,2377.0,369.0,2746.0,169.0,2915.0,396.0,369.0,3680.0,4004.0,15477.0,1455.0,-330.0,16602.0,,,,,211.0,21.0,-15.0,217.0
Jun-1961,,,8391.0,2393.0,431.0,2824.0,187.0,3011.0,418.0,437.0,3866.0,4041.0,16298.0,1546.0,-284.0,17560.0,,,,,415.0,55.0,31.0,501.0
Jun-1962,,,8661.0,2508.0,470.0,2977.0,181.0,3158.0,432.0,499.0,4089.0,3868.0,16618.0,1465.0,-304.0,17779.0,,,,,-106.0,-50.0,-87.0,-243.0
